trainer_id,route,x_coord,y_coord
1,1,58,10
2,1,65,172
3,2,131,59
4,2,208,79
5,3,173,246
6,3,96,5
7,3,224,191
8,3,38,221
9,3,56,73
10,3,211,231
11,3,171,134
12,3,129,157
13,4,132,113
14,4,90,229
15,4,237,207
16,4,147,167
17,4,180,99
18,5,51,1
19,5,119,239
20,5,70,59
21,5,93,183
22,5,90,2
23,6,155,194
24,6,84,212
25,6,127,231
26,6,150,132
27,6,90,117
28,7,93,255
29,7,163,3
30,8,200,148
31,8,22,199
32,8,79,55
33,8,85,228
34,8,68,54
35,8,125,53
36,9,202,191
37,9,5,90
38,9,167,212
39,9,176,101
40,9,227,128
41,9,212,59
42,9,249,62
43,11,48,30
44,12,247,64
45,13,225,216
46,14,10,206
47,10,125,220
48,10,125,200
49,10,125,180
50,10,125,150
51,10,125,100
