trainer,item
1,128
1,1
2,140
2,71
2,146
3,215
3,216
3,96
4,25
4,135
4,86
5,41
5,131
6,157
6,104
7,98
8,79
8,30
8,125
9,21
9,145
9,160
11,136
11,37
12,175
12,182
14,207
17,114
19,55
19,39
19,146
20,176
20,177
20,141
21,204
21,73
22,60
22,197
22,3
23,135
24,159
25,215
25,150
25,140
27,203
27,161
28,114
28,18
29,211
29,85
29,102
30,112
31,58
32,51
32,192
33,135
33,210
33,159
34,9
36,116
36,32
37,167
37,92
38,169
38,149
39,55
41,211
41,183
41,32
43,66
43,185
43,128
43,122
44,205
44,156
44,76
44,155
45,79
45,118
45,141
46,127
46,52
47,18
47,170
47,94
47,8
47,128
47,70
48,77
48,131
48,102
49,49
49,8
49,135
49,132
49,66
50,152
50,99
50,21
50,75
50,57
51,206
51,159
51,8
